value
322
601
952
1354
1780
2066
2328
2684
3034
3300
3662
4075
4075
4075
4075
4075
4075
4075
4075
4075
4075
4075
4075
4075
4075
4075
4075
4075
4356
4356
4356
4356
4356
4356
4356
4356
4356
4647
4864
5162
5457
5799
6104
6373
6644
6941
7218
7489
7704
7912
8089
8346
8599
8928
9228
9482
9747
10073
10258
10492
10750
11054
11419
11692
12034
12180
12180
