value
322
279
351
402
426
286
262
356
350
266
362
413
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
281
NA
NA
NA
NA
NA
NA
NA
NA
291
217
298
295
342
305
269
271
297
277
271
215
208
177
257
253
329
300
254
265
326
185
234
258
304
365
273
342
146
NA
